"district_en","day","case"
"Tuen Mun","2020-03-07","0"
"Yuen Long","2020-03-07","1"
"North","2020-03-07","0"
"Tai Po","2020-03-07","0"
"Sha Tin","2020-03-07","0"
"Sai Kung","2020-03-07","1"
"Islands","2020-03-07","0"
"Central & Western","2020-03-08","1"
"Wan Chai","2020-03-08","5"
"Eastern","2020-03-08","4"
"Southern","2020-03-08","3"
"Yau Tsim Mong","2020-03-08","0"
"Sham Shui Po","2020-03-08","1"
"Kowloon City","2020-03-08","0"
"Wong Tai Sin","2020-03-08","0"
"Kwun Tong","2020-03-08","2"
"Kwai Tsing","2020-03-08","0"
"Tsuen Wan","2020-03-08","0"
"Tuen Mun","2020-03-08","0"
"Yuen Long","2020-03-08","1"
"North","2020-03-08","0"
"Tai Po","2020-03-08","0"
"Sha Tin","2020-03-08","0"
"Sai Kung","2020-03-08","1"
"Islands","2020-03-08","0"
